Date,Open,High,Low,Close,Volume,QuoteVolume
"12/18/2019, 12:24:00 PM",6623.75000000,6626.74000000,6620.54000000,6622.14000000,28.48459200,188695.64928494
"12/18/2019, 12:25:00 PM",6622.14000000,6628.92000000,6621.09000000,6628.84000000,14.81961500,98166.35412666
"12/18/2019, 12:26:00 PM",6628.84000000,6628.84000000,6613.15000000,6618.76000000,58.41180000,386659.40977615
"12/18/2019, 12:27:00 PM",6619.76000000,6622.62000000,6615.87000000,6620.00000000,27.37817200,181215.67750635
"12/18/2019, 12:28:00 PM",6619.37000000,6625.18000000,6618.34000000,6623.82000000,38.62452200,255767.49982726
"12/18/2019, 12:29:00 PM",6623.82000000,6630.47000000,6623.38000000,6629.11000000,29.04841300,192504.54471189
"12/18/2019, 12:30:00 PM",6629.45000000,6629.50000000,6623.75000000,6624.94000000,23.03953800,152681.85108904
"12/18/2019, 12:31:00 PM",6626.15000000,6627.33000000,6615.01000000,6618.68000000,26.30922600,174172.88285087
"12/18/2019, 12:32:00 PM",6618.68000000,6620.36000000,6611.20000000,6612.63000000,52.20556100,345359.25615092
"12/18/2019, 12:33:00 PM",6612.62000000,6614.27000000,6602.87000000,6613.42000000,124.22056900,820941.21074240
"12/18/2019, 12:34:00 PM",6612.45000000,6622.79000000,6609.59000000,6610.07000000,59.93229800,396511.21122308
"12/18/2019, 12:35:00 PM",6612.33000000,6612.72000000,6608.17000000,6611.11000000,25.33897900,167515.41195799
"12/18/2019, 12:36:00 PM",6611.09000000,6611.11000000,6594.58000000,6597.08000000,211.24305400,1394455.49958157
"12/18/2019, 12:37:00 PM",6598.11000000,6605.97000000,6596.67000000,6597.12000000,82.65018900,545579.11651950
"12/18/2019, 12:38:00 PM",6596.64000000,6607.66000000,6595.85000000,6605.11000000,65.06779800,429529.62929341
"12/18/2019, 12:39:00 PM",6605.66000000,6619.89000000,6605.08000000,6618.60000000,37.40728000,247337.22050136
"12/18/2019, 12:40:00 PM",6617.13000000,6618.24000000,6610.00000000,6613.56000000,34.98591100,231405.49860007
"12/18/2019, 12:41:00 PM",6612.39000000,6626.65000000,6612.14000000,6625.92000000,79.77335200,528115.57695251
"12/18/2019, 12:42:00 PM",6626.25000000,6626.69000000,6620.36000000,6621.42000000,61.33336500,406213.42363746
"12/18/2019, 12:43:00 PM",6621.51000000,6623.14000000,6615.81000000,6618.55000000,45.80185500,303171.53892968
"12/18/2019, 12:44:00 PM",6618.62000000,6625.25000000,6618.62000000,6622.72000000,32.96122700,218242.13386580
"12/18/2019, 12:45:00 PM",6622.96000000,6624.94000000,6620.08000000,6621.07000000,50.54433500,334760.23878662
"12/18/2019, 12:46:00 PM",6620.40000000,6625.40000000,6620.07000000,6621.49000000,37.60454200,249024.36513634
"12/18/2019, 12:47:00 PM",6621.49000000,6622.77000000,6617.65000000,6619.85000000,42.17567800,279194.70895488
"12/18/2019, 12:48:00 PM",6619.85000000,6620.34000000,6616.71000000,6618.85000000,23.57235500,156012.11232030
"12/18/2019, 12:49:00 PM",6618.57000000,6619.87000000,6616.45000000,6618.03000000,19.80058900,131043.99991364
"12/18/2019, 12:50:00 PM",6618.03000000,6618.27000000,6612.14000000,6613.26000000,39.36413300,260430.05775170
"12/18/2019, 12:51:00 PM",6612.55000000,6619.25000000,6609.46000000,6613.36000000,68.50354100,453041.66956708
"12/18/2019, 12:52:00 PM",6613.36000000,6618.46000000,6613.36000000,6617.27000000,22.35716900,147919.18637244
"12/18/2019, 12:53:00 PM",6617.26000000,6617.26000000,6612.87000000,6615.32000000,31.05706800,205450.83678457
"12/18/2019, 12:54:00 PM",6615.33000000,6615.33000000,6609.05000000,6612.26000000,49.73825200,328865.26505762
"12/18/2019, 12:55:00 PM",6612.46000000,6616.64000000,6611.90000000,6612.28000000,39.77653900,263036.13302011
"12/18/2019, 12:56:00 PM",6611.92000000,6611.92000000,6602.25000000,6602.29000000,29.91942100,197699.34588795
"12/18/2019, 12:57:00 PM",6603.98000000,6608.97000000,6598.53000000,6598.53000000,88.27718400,582963.29542758
"12/18/2019, 12:58:00 PM",6598.52000000,6606.78000000,6598.10000000,6606.48000000,52.79324600,348578.69110715
"12/18/2019, 12:59:00 PM",6606.14000000,6606.99000000,6600.00000000,6603.56000000,79.26109900,523492.21977114
"12/18/2019, 1:00:00 PM",6603.56000000,6605.55000000,6596.45000000,6596.45000000,43.49014000,287081.75081949
"12/18/2019, 1:01:00 PM",6597.93000000,6606.34000000,6590.01000000,6599.06000000,119.33900400,787569.34199971
"12/18/2019, 1:02:00 PM",6598.52000000,6608.23000000,6598.52000000,6605.35000000,30.78943800,203323.43312702
"12/18/2019, 1:03:00 PM",6605.74000000,6618.66000000,6605.74000000,6617.82000000,33.93269100,224390.37526333
"12/18/2019, 1:04:00 PM",6616.74000000,6617.22000000,6614.22000000,6616.23000000,29.69895500,196471.83286126
"12/18/2019, 1:05:00 PM",6616.23000000,6621.70000000,6615.11000000,6619.41000000,31.66774000,209590.83771354
"12/18/2019, 1:06:00 PM",6619.87000000,6620.80000000,6616.84000000,6617.23000000,15.71254500,104007.60560434
"12/18/2019, 1:07:00 PM",6617.84000000,6619.95000000,6615.25000000,6619.62000000,19.81302700,131107.23367092
"12/18/2019, 1:08:00 PM",6619.78000000,6626.43000000,6619.07000000,6624.65000000,21.03477300,139320.28455667
"12/18/2019, 1:09:00 PM",6624.18000000,6624.79000000,6618.74000000,6620.68000000,26.83500200,177681.23169625
"12/18/2019, 1:10:00 PM",6620.47000000,6621.87000000,6615.89000000,6620.49000000,20.54993400,136022.43065240
"12/18/2019, 1:11:00 PM",6620.54000000,6625.95000000,6620.51000000,6624.58000000,31.61978400,209440.04653781
"12/18/2019, 1:12:00 PM",6623.95000000,6626.30000000,6621.91000000,6625.50000000,19.75503000,130858.06167885
"12/18/2019, 1:13:00 PM",6625.50000000,6632.63000000,6623.78000000,6627.37000000,92.83275900,615306.56002375
"12/18/2019, 1:14:00 PM",6626.45000000,6632.50000000,6625.91000000,6630.00000000,30.41774800,201644.82749793
"12/18/2019, 1:15:00 PM",6630.00000000,6630.46000000,6622.03000000,6623.56000000,36.57134500,242365.40130585
"12/18/2019, 1:16:00 PM",6623.55000000,6627.89000000,6621.44000000,6625.13000000,22.72671000,150555.92774904
"12/18/2019, 1:17:00 PM",6624.95000000,6626.00000000,6623.27000000,6624.33000000,13.60228400,90103.94167170
"12/18/2019, 1:18:00 PM",6624.34000000,6626.27000000,6623.66000000,6625.87000000,16.81498600,111399.90040215
"12/18/2019, 1:19:00 PM",6625.13000000,6625.45000000,6620.43000000,6621.01000000,17.75638200,117609.77347784
"12/18/2019, 1:20:00 PM",6620.99000000,6624.92000000,6620.07000000,6624.92000000,22.71550100,150426.52564136
"12/18/2019, 1:21:00 PM",6624.87000000,6624.87000000,6620.14000000,6623.39000000,17.01529900,112684.56803262
"12/18/2019, 1:22:00 PM",6623.36000000,6623.40000000,6617.69000000,6618.62000000,22.70368500,150328.42296538
"12/18/2019, 1:23:00 PM",6618.30000000,6618.60000000,6614.88000000,6616.10000000,17.79350600,117724.04186951
"12/18/2019, 1:24:00 PM",6616.10000000,6620.88000000,6615.93000000,6618.78000000,29.33252700,194096.68103620
